"","timestamp","code","i01","i02r","i03","i04","i05","i06r","i07","i08","i09","i10","n_facebook_friends","n_hangover","age","sex","extra_single_item","time_conversation","presentation","n_party","clients","extra_vignette","i21","extra_vignette2","major","smoker","sleep_week","sleep_wend","clients_freq","extra_mean","extra_md","extra_aad","extra_mode","extra_iqr"
"1","11.03.2015 19:17:48","HSC",3,3,3,3,4,4,3,2,3,1,250,1,24,"Frau",4,10,"nein",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3,0.56,3,0
"2","11.03.2015 19:18:05","ERB",2,2,1,2,3,2,2,3,3,1,106,0,35,"Frau",3,15,"nein",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2,0.54,2,0.75
"3","11.03.2015 19:18:09","ADP",3,4,1,4,4,1,3,2,3,1,215,0,25,"Frau",4,15,"nein",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,1.08,1,2.5
"4","11.03.2015 19:18:19","KHB",3,3,2,4,3,3,3,3,3,2,200,15,39,"Frau",3,5,"nein",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3,0.36,3,0
"5","11.03.2015 19:18:19","PTG",4,3,1,4,4,3,4,2,3,4,100,0,29,"Frau",4,5,"nein",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.5,0.8,4,1
"6","11.03.2015 19:18:23","ABL",3,2,1,4,2,3,4,3,3,3,376,1,33,"Mann",4,20,"ja",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,0.68,3,0.75
"7","11.03.2015 19:18:38","ber",4,4,1,3,3,3,2,3,3,2,180,1,24,"Frau",3,2,"ja",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,0.68,3,0.75
"8","11.03.2015 19:18:50","hph",3,3,2,3,2,2,3,2,4,1,432,2,28,"Mann",3,15,"ja",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,0.7,2,1
"9","11.03.2015 19:19:27","IHW",4,4,1,4,3,4,3,3,4,2,200,5,29,"Frau",4,10,"nein",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.5,0.8,4,1
"10","11.03.2015 19:19:31","LEI",4,4,2,4,3,3,3,3,3,3,NA,0,38,"Mann",4,10,"nein",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3,0.48,3,0.75
"11","11.03.2015 19:19:40","PTG",3,3,1,3,3,3,2,3,4,1,400,1,25,"Frau",4,1,"nein",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,0.76,3,0.75
"12","11.03.2015 19:20:02","HRM",3,4,1,3,2,3,4,2,2,3,160,2,52,"Frau",4,5,"ja",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3,0.76,3,1
"13","11.03.2015 19:20:02","WHB",4,3,1,2,3,3,2,3,4,2,463,20,32,"Mann",4,5,"ja",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3,0.76,3,1
"14","11.03.2015 19:20:07","TSL",4,3,4,4,3,3,3,3,4,3,308,2,25,"Mann",4,5,"ja",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3,0.48,3,1
"15","11.03.2015 19:20:20","AKS",3,3,1,3,3,3,3,4,4,2,305,20,23,"Frau",4,30,"nein",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3,0.56,3,0
"16","11.03.2015 19:20:33","WGM",4,4,2,4,3,4,3,3,4,3,520,7,27,"Frau",4,15,"ja",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.5,0.6,4,1
"17","11.03.2015 19:20:43","WEL",4,4,3,4,3,3,3,2,4,3,369,0,32,"Frau",4,10,"nein",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3,0.56,3,1
"18","11.03.2015 19:20:52","WOM",4,3,3,4,4,4,4,4,4,3,NA,12,23,"Mann",4,4,"ja",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,4,0.42,4,0.75
"19","11.03.2015 19:21:52","BKM",3,3,1,4,3,3,3,3,3,2,349,1,33,"Mann",4,5,"nein",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,0.52,3,0
"20","11.03.2015 19:27:20","PTG",3,3,1,3,3,3,2,3,4,1,400,1,25,"Frau",4,1,"nein",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,0.76,3,0.75
"21","12.03.2015 07:06:02","HHD",4,4,2,4,4,4,4,4,4,3,607,30,27,"Frau",4,2,"nein",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,4,0.48,4,0
"22","12.03.2015 11:17:49","HHM",3,2,1,2,1,4,1,3,4,1,197,12,26,"Mann",3,30,"ja",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,1.04,1,2
"23","21.03.2015 17:32:11","WGM",4,4,2,4,3,4,3,3,4,3,520,7,27,"Frau",4,15,"ja",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.5,0.6,4,1
"24","11.05.2015 18:17:42","KSF",3,3,1,4,3,3,3,2,3,3,NA,0,32,"Frau",3,5,"ja",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3,0.52,3,0
"25","11.05.2015 18:17:57","MJC",3,3,2,3,3,3,3,4,3,2,200,6,25,"Frau",3,10,"ja",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,3,0.36,3,0
"26","11.05.2015 18:18:11","SBM",3,3,1,3,2,3,3,3,4,1,NA,0,27,"Frau",3,15,"ja",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,0.76,3,0.75
"27","11.05.2015 18:18:25","EGF",2,3,3,2,3,3,3,3,2,2,NA,NA,27,"Frau",2,NA,"nein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,3,0.48,3,1
